Index,TimeTag,Alias,ARINC429
2449,0d:5h:09m:20.985 709s,Magnetic Heading,0x0A08000C
2450,0d:5h:09m:20.988 589s,Set Magnetic Heading,0x825C0023
2451,0d:5h:09m:20.991 469s,Body Pitch Acceleration,0x1FFBA02A
2452,0d:5h:09m:20.994 349s,Body Roll Acceleration,0x0001602B
2453,0d:5h:09m:20.997 229s,Body Yaw Acceleration,0x0000A02C
2454,0d:5h:09m:21.000 109s,Altitude Rate,0x9FA6008A
2455,0d:5h:09m:21.005 869s,Integrated Vertical Acceleration,0x1E0152B5
2456,0d:5h:09m:21.008 749s,Present Position - Latitude,0x1B05FC8
2457,0d:5h:09m:21.011 629s,Present Position - Longitude,0x8ED82FC9
2458,0d:5h:09m:21.014 509s,Ground Speed,0x00B9C0CA
2459,0d:5h:09m:21.017 389s,Pitch Angle,0x1EE0C0D4
2460,0d:5h:09m:21.020 269s,Roll Angle,0x1FFEC0D5
2461,0d:5h:09m:21.023 149s,Body Pitch Rate,0x000600D6
2462,0d:5h:09m:21.026 029s,Body Roll Rate,0x1FFF00D7
2463,0d:5h:09m:21.028 909s,Body Yaw Rate,0x800000D8
2464,0d:5h:09m:21.031 789s,Body Longitudinal Acceleration,0x1FA800D9
2465,0d:5h:09m:21.034 669s,Body Lateral Acceleration,0x1F5E00DA
2466,0d:5h:09m:21.037 549s,Body Normal Acceleration,0x1C8D00DB
2467,0d:5h:09m:21.040 429s,Altitude (Inertial),0x803B09F1
2468,0d:5h:09m:21.043 309s,Vertical Acceleration,0x9C8D00F4
2469,0d:5h:09m:21.046 189s,Inertial Vertical Velocity (EFI),0x9FAF80F5
2470,0d:5h:09m:21.049 069s,g,0x040D00F8
2471,0d:5h:09m:21.085 709s,Magnetic Heading,0x0A08000C
2472,0d:5h:09m:21.088 589s,Set Magnetic Heading,0x825C0023
2473,0d:5h:09m:21.091 469s,Body Pitch Acceleration,0x9FF9602A
2474,0d:5h:09m:21.094 349s,Body Roll Acceleration,0x8001402B
2475,0d:5h:09m:21.097 229s,Body Yaw Acceleration,0x8000802C
2476,0d:5h:09m:21.100 109s,Altitude Rate,0x9FB4008A
2477,0d:5h:09m:21.105 869s,Integrated Vertical Acceleration,0x9DEC96B5
2478,0d:5h:09m:21.108 749s,Present Position - Latitude,0x1B05FC8
2479,0d:5h:09m:21.111 629s,Present Position - Longitude,0x8ED82FC9
2480,0d:5h:09m:21.114 509s,Ground Speed,0x80B980CA
2481,0d:5h:09m:21.117 389s,Pitch Angle,0x9EC3C0D4
2482,0d:5h:09m:21.120 269s,Roll Angle,0x8002C0D5
2483,0d:5h:09m:21.123 149s,Body Pitch Rate,0x800580D6
2484,0d:5h:09m:21.126 029s,Body Roll Rate,0x1FFF00D7
2485,0d:5h:09m:21.128 909s,Body Yaw Rate,0x800000D8
2486,0d:5h:09m:21.131 789s,Body Longitudinal Acceleration,0x023100D9
2487,0d:5h:09m:21.134 669s,Body Lateral Acceleration,0x1F6E00DA
2488,0d:5h:09m:21.137 549s,Body Normal Acceleration,0x1B2500DB
2489,0d:5h:09m:21.140 429s,Altitude (Inertial),0x803B0CF1
2490,0d:5h:09m:21.143 309s,Vertical Acceleration,0x9B2500F4
2491,0d:5h:09m:21.146 189s,Inertial Vertical Velocity (EFI),0x9FB440F5
2492,0d:5h:09m:21.149 069s,g,0x040D00F8
2493,0d:5h:09m:21.185 709s,Magnetic Heading,0x0A08000C
2494,0d:5h:09m:21.188 589s,Set Magnetic Heading,0x825C0023
2495,0d:5h:09m:21.191 469s,Body Pitch Acceleration,0x1FF5802A
2496,0d:5h:09m:21.194 349s,Body Roll Acceleration,0x0001602B
2497,0d:5h:09m:21.197 229s,Body Yaw Acceleration,0x0000602C
2498,0d:5h:09m:21.200 109s,Altitude Rate,0x9FC0008A
2499,0d:5h:09m:21.205 869s,Integrated Vertical Acceleration,0x1DE114B5
2500,0d:5h:09m:21.208 749s,Present Position - Latitude,0x1B05FC8
2501,0d:5h:09m:21.211 629s,Present Position - Longitude,0x8ED82FC9
2502,0d:5h:09m:21.214 509s,Ground Speed,0x00B8E0CA
2503,0d:5h:09m:21.217 389s,Pitch Angle,0x9EAAC0D4
2504,0d:5h:09m:21.220 269s,Roll Angle,0x800640D5
2505,0d:5h:09m:21.223 149s,Body Pitch Rate,0x000500D6
2506,0d:5h:09m:21.226 029s,Body Roll Rate,0x9FFF80D7
2507,0d:5h:09m:21.228 909s,Body Yaw Rate,0x800000D8
